Date,SPY,QQQ,IEF,LQD,GLD
2021-12-14,434.457916,377.161652,100.072098,109.796974,165.440002
2021-12-15,441.246277,385.76001,99.925026,109.937515,166.149994
2021-12-16,437.355225,375.840302,100.215942,109.934196,168.160004
2021-12-17,432.700439,373.965179,100.441055,110.190987,167.800003
2021-12-20,428.099396,370.337524,100.354485,109.710526,167.089996
2021-12-21,435.701935,378.625916,99.9562,109.925926,167.020004
2021-12-22,440.058472,383.23703,100.051468,110.099869,168.589996
2021-12-23,442.796478,386.126221,99.843651,109.934196,168.970001
2021-12-27,449.06308,392.507874,99.878273,110.257263,169.369995
2021-12-28,448.696045,390.688751,99.86097,110.11644,168.639999
2021-12-29,449.27002,390.63031,99.350143,109.511665,168.589996
2021-12-30,448.027985,389.462952,99.679146,109.950745,169.800003
2021-12-31,446.898926,387.030914,99.56662,109.785057,170.960007
2022-01-03,449.48645,390.756744,98.640205,108.616959,168.330002
2022-01-04,449.335907,385.688416,98.588249,108.708099,169.570007
2022-01-05,440.707672,373.839691,98.172676,108.070236,169.059998
2022-01-06,440.293671,373.576965,97.930237,107.929375,166.990005
2022-01-07,438.552979,369.530121,97.609894,107.465469,167.75
2022-01-10,438.007233,369.773315,97.583939,107.366013,168.259995
2022-01-11,441.996735,375.328125,97.817688,107.689148,170.289993
2022-01-12,443.191711,376.816437,97.835022,107.614578,170.740005
2022-01-13,437.085175,367.389984,98.146698,107.954216,170.160004
2022-01-14,437.263977,369.676056,97.471405,107.001526,169.669998
2022-01-18,429.520142,360.473328,96.735451,105.982544,169.389999
2022-01-19,425.060181,356.514008,96.969223,106.148239,172.080002
2022-01-20,420.355621,351.883453,97.17704,106.090225,171.649994
2022-01-21,412.10376,342.12619,97.739769,106.78611,171.089996
2022-01-24,413.853821,343.692444,97.653229,106.454758,172.029999
2022-01-25,408.801147,335.725067,97.523331,106.156509,172.580002
2022-01-26,407.775543,335.199799,96.830681,105.435745,169.789993
2022-01-27,405.761871,331.824219,97.23761,105.676033,167.600006
2022-01-28,415.839264,342.233246,97.462708,105.791992,167.100006
2022-01-31,423.328949,353.177277,97.462708,105.84169,168.089996
2022-02-01,426.189331,355.580048,97.331009,106.017685,168.229996
2022-02-02,430.329315,358.46936,97.530334,106.025986,168.839996
2022-02-03,420.214447,343.935638,97.114326,105.171043,168.600006
2022-02-04,422.19043,348.274384,96.369003,104.125237,168.860001
2022-02-07,420.835419,345.472748,96.395065,104.316116,170.110001
2022-02-08,424.298096,349.354126,96.083031,103.92601,170.630005
2022-02-09,430.508087,356.757202,96.213013,104.27462,171.210007
2022-02-10,422.773743,348.682983,95.329071,102.855293,170.559998
2022-02-11,414.437225,337.62207,96.317032,103.618919,173.809998
2022-02-14,413.082275,338.040466,95.64975,102.697609,174.740005
2022-02-15,419.743958,346.445465,95.363747,102.183006,173.080002
2022-02-16,420.214447,346.35788,95.563057,102.33239,174.860001
2022-02-17,411.238098,336.055939,96.074394,102.407082,177.25
2022-02-18,408.575287,332.223053,96.386322,102.656075,177.119995
2022-02-22,404.190613,328.886292,96.37767,102.5233,177.490005
2022-02-23,397.020752,320.461792,95.875038,101.593681,178.289993
2022-02-24,402.995636,331.230774,96.100388,102.075081,177.139999
2022-02-25,411.887329,336.367157,96.074394,102.490105,176.550003
2022-02-28,410.833527,337.369141,97.166321,103.585701,178.380005
2022-03-01,404.576447,332.203583,98.112663,103.940025,181.619995
2022-03-02,412.019073,337.77771,96.638084,102.359787,179.729996
2022-03-03,409.967834,332.952606,97.054413,102.734055,180.800003
2022-03-04,406.637024,328.127441,98.017258,102.833847,183.679993
2022-03-07,394.649597,316.025787,97.600899,101.586266,186.410004
2022-03-08,391.657562,314.556885,96.967651,100.979111,191.509995
2022-03-09,402.158203,325.880249,96.369164,101.153763,185.820007
2022-03-10,400.342285,322.261475,95.926811,99.997696,186.399994
